Id,Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
271,Former member/president of THC Venture I LLC. The company is reportedly dormant or inactive. Trump retains an ownership interest.,Donald Trump,THC Venture I LLC ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
272,Former chairman/director/president of THC Venture I Managing Member Corp. The company is reportedly dormant or inactive. Trump retains an ownership interest. ,Donald Trump,THC Venture I Managing Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
273,Former member/president of THC Venture II LLC. The company is reportedly dormant or inactive. Trump retains an ownership interest.,Donald Trump,THC Venture II LLC ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
274,Former chairman/director/president of THC Venture II Managing Member Corp. The company is reportedly dormant or inactive. Trump retains an ownership interest.,Donald Trump,THC Venture II Managing Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
275,"Former president of THC Venture III LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,THC Venture III LLC (N/K/A TTTT Venture LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
276,"Former chairman/director/president of THC Venture III Managing Member Corp. - N/K/A TTTT Venture Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,THC Venture III Managing Member Corp. - N/K/A TTTT Venture Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
277,"Former director/chairman/president of The Caribusiness RE Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,The Caribusiness RE Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
278,"Former manager of the now-dormant or inactive The Donald J. Trump Company LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,The Donald J. Trump Company LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
279,"The Donald J. Trump Foundation received $150,000 from the Victor Pinchuk Foundation and Yalta European Strategy (YES) — an NGO founded by Mr. Pinchuk — for a video speech Trump made in September 2015.",Donald Trump,The Donald J. Trump Foundation,BuzzFeed,22-Nov-16,,,,,active,,5-Jul-17
280,"Former director of The Donald J. Trump Foundation, Inc., the current activity status and control structures of which are not reported. ",Donald Trump,"The Donald J. Trump Foundation, Inc.",Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
281,"Former trustee of The Donald J. Trump Grantor Trust. In Pres. Trump's 2017 financial disclosure, it was clarified that Pres. Trump is the Trustee Successor, and Donald Trump Jr. is the Trustee. Its current activity status and control structures are not reported. ",Donald Trump,The Donald J. Trump Grantor Trust,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
282,"Former trustee of The Donald J. Trump Revocable Trust, which was established to hold Trump's exclusive assets. Its trustees as of Jan. 17, 2017, were Donald Trump Jr. and Trump Organization CFO Allen Weisselberg. Pres. Trump may withdraw money and underlying assets from the revocable trust as he pleases. ",Donald Trump,The Donald J. Trump Revocable Trust,ProPublica,4-Apr-17,Office of Government Ethics,14-Jun-17,,,active,,5-Jul-17
283,"Former partner in The East 61 St. Company, LP., in which Pres. Trump retains an ownership interest.",Donald Trump,"The East 61 St. Company, LP.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
284,"Former trustee of The Fred C. Trump December 16, 1976 Trust- F/B/O Donald J. Trump. Its current activity status and ownership structure are not reported. ",Donald Trump,"The Fred C. Trump December 16, 1976 Trust- F/B/O Donald J. Trump. ",Office of Government Ethics,14-Jun-17,,,,,active,"Although Pres. Trump resigned his position from this trust, it is designated for his own benefit. Therefore, it is marked as a confirmed conflict. ",5-Jul-17
285,"Former trustee of The Fred C. Trump December 16, 1976 Trust- F/B/O Elizabeth J. Trump. Its current activity status and control structures are not reported. ",Donald Trump,"The Fred C. Trump December 16, 1976 Trust- F/B/O Elizabeth J. Trump",Office of Government Ethics,14-Jun-17,,,,,active,"Because this trust is designated for the benefit of an immediate family member of Pres. Trump, it is marked as a confirmed conflict. ",5-Jul-17
286,"Former trustee of The Fred C. Trump December 16, 1976 Trust- F/B/O Robert S. Trump. Its current activity status and control structures are not reported. ",Donald Trump,"The Fred C. Trump December 16, 1976 Trust- F/B/O Robert S. Trump",Office of Government Ethics,14-Jun-17,,,,,active,"Because this trust is designated for the benefit of an immediate family member of Pres. Trump, it is marked as a confirmed conflict. ",5-Jul-17
287,"Former board member of The Police Athletic League, Inc., which also has been a notable beneficiary of charitable giving from the Donald J. Trump Foundation.",Donald Trump,"The Police Athletic League, Inc.",Office of Government Ethics,14-Jun-17,Forbes,9-Feb-17,,,potential,"Pres. Trump no longer holds a position with this organization that has donated so consistently to his nonprofit; nonetheless, due to the longstanding nature of that connection and the lack of clarity about the foundation's current activity status, this is marked as ""unclear."" ",5-Jul-17
288,"Former director/president/chairman of The Trump Corporation, of which Pres. Trump retains an ownership interest. ",Donald Trump,The Trump Corporation,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
289,Former member of The Trump Entrepreneur Initiative LLC (f/k/a Trump University CA LLC). Trump retains an ownership interest. ,Donald Trump,The Trump Entrepreneur Initiative LLC (f/k/a Trump University CA LLC) ,Office of Government Ethics,14-Jun-17,Washington Post,18-Nov-16,,,active,,5-Jul-17
290,"Trump retains an ownership interest in The Trump Entrepreneur Initiative LLC (NY Domestic), which reportedly has no independent value or income and is part of other entity structures. The company is not listed as an entity outside of federal government in which he holds a position. ",Donald Trump,The Trump Entrepreneur Initiative LLC (NY Domestic),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
291,"Former partner in The Trump Equitable Fifth Avenue Company, of which Pres. Trump retains an ownership interest. ",Donald Trump,The Trump Equitable Fifth Avenue Company,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
292,"Former member and president of the now-dormant or inactive The Trump Follies LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,The Trump Follies LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
293,"Former chairman/director/president of the now-dormant or inactive The Trump Follies Member Inc., of which Pres. Trump retains an ownership interest. ",Donald Trump,The Trump Follies Member Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
294,Pres. Trump retains an ownership interest in the now-dormant or inactive The Trump Hotel Corp. Any current or former position he may have held with the company is not reported in his financial dislosures. ,Donald Trump,The Trump Hotel Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
295,"Former chairman/director and president of The Trump Marks Real Estate Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,The Trump Marks Real Estate Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
296,"Former director/president/chairman of the now-dormant or inactive The Trump Organization, Inc., of which Pres. Trump retains an ownership interest.",Donald Trump,"The Trump Organization, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
297,"Former president/director of the now-dormant or inactive TIGL Common Area Management Corp., of which Pres. Trump retains ownership interests. ",Donald Trump,TIGL Common Area Management Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
298,Former member/president of TIGL Common Area Management Holdings LLC. Its current activity status and ownership structure are not reported.,Donald Trump,TIGL Common Area Management Holdings LLC,Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
299,"Former director/president of TIGL Ireland Enterprises Limited (Trump International Golf Links - Doonbeg), of which Pres. Trump retains an ownership interest. ",Donald Trump,TIGL Ireland Enterprises Limited (Trump International Golf Links - Doonbeg),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
300,"Former president/director of TIGL Ireland Management Limited, of which Pres. Trump retains an ownership interest. ",Donald Trump,TIGL Ireland Management Limited,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
301,"Former member/president of the now-dormant or inactive TIHC Reservations LLC, of which Pres. Trump retains an interest. ",Donald Trump,TIHC Reservations LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
302,"Former president/director of TIHH Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,TIHH Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
303,"Former member/president of TIHH Member LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,TIHH Member LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
304,"Former president/director of TIHM Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,TIHM Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
305,"Former president of TIHT Chicago Member Acquisition LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,TIHT Chicago Member Acquisition LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
306,"Former member/president of TIHT Commercial LLC, of which Pres. Trump retains ownership interests. ",Donald Trump,TIHT Commercial LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
307,"Former member/president of TIHT Holding Company LLC, of which Pres. Trump retains ownership interests. ",Donald Trump,TIHT Holding Company LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
