description,familyMember,conflictingEntity,category,notes,dateChanged
"Jared Kushner received $1,001 - $2,500 in Interest income from VIRGINIA BEACH VA, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Virginia Beach VA, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from VIRGINIA ST, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Virginia St, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from WAKE CNTY NC RFDG, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Wake Cnty Nc Rfdg, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from WAKE CNTY NC, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Wake Cnty Nc, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from WELLS FARGO COMPANY, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Wells Fargo Company, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from WESTCHESTER CNTY NY, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Westchester Cnty NY, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from WHITE PLAINS NY, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"White Plains NY, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Capital Gains Interest income from KF- RCG Longview Debt Fund IV, LLC (Financial investments in RCG Longview Debt Fund IV LP; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Kf- Rcg Longview Debt Fund Iv, LLC (Financial Investments In Rcg Longview Debt Fund Iv Lp; New York, NY)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from NEW YORK ST URBAN DEV CORP REV ST PERS INCOME TAX SER A1, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"New York St Urban Dev Corp Rev St Pers Income Tax Ser A1, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Capital Gains Interest income from KF- Park Street Capital PE Fund IX, LLC (Financial investments in Park Street Capital Private Equity Fund; Boston, MA) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Kf- Park Street Capital Pe Fund Ix, LLC (Financial Investments In Park Street Capital Private Equity Fund; Boston, Ma)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from MET TRANSPRTN AUTH NY REVENUE TRANSN SER A, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Met Transprtn Auth NY Revenue Transn Ser A, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from CHARLOTTE NC RFDG, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Charlotte Nc Rfdg, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Capital Gains income from KF- Faire Fund II, LLC (Financial investments in The Faire Fund II, LP; Israel) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Kf- Faire Fund Ii, LLC (Financial Investments In The Faire Fund Ii, Lp; Israel)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $201 - $1,000 in Interest income from EXXON MOBIL CORPORATION, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Exxon Mobil Corporation, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $201 - $1,000 in Capital Gains Interest income from KF- C-III RECOVERY FUND II, LLC (Financial investments in C-III Recovery Fund II, LP; Irving, TX) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Kf- C-Iii Recovery Fund Ii, LLC (Financial Investments In C-Iii Recovery Fund Ii, Lp; Irving, Tx)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from TRIBOROUGH NY BRIDGE &amp; TUNNEL AUTH REVENUES GEN SER A RMKT, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Triborough NY Bridge &Amp; Tunnel Auth Revenues Gen Ser A Rmkt, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Ivanka Trump served as President, Secretary, Treasurer of 502 6G LLC from Nov 1, 2015, until May 1, 2017. Ivanka Trump received $100,001 - $1,000,000 in Rent or Royalties income from 502 6G LLC (Residential Real Estate in New York, NY) the year before her appointment as her father&#39;s presidential adviser. Although the positions are resigned, there is no indication her interest in this entity has been divested or placed into a blind trust; therefore, it is marked in this database as an active potential conflict of interest.",Ivanka Trump,"502 6G LLC (Residential Real Estate In New York, NY)",Active, "",09/18/2017
"Ivanka Trump served as Executive Vice President of DT BALI GOLF MANAGER LLC from Jun 1, 2015, until Jan 1, 2017. Ivanka Trump lists DT Bali Golf Manager LLC (management of future golf course; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income. Because there is no indication her interest in this entity has been divested or placed into a blind trust, it is marked in this database as an active potential conflict of interest.",Ivanka Trump,"Dt Bali Golf Manager LLC",Active, "",09/18/2017
"Ivanka Trump served as Executive Vice President of DT BALI HOTEL MANAGER LLC from Jun 1, 2015, until Jan 1, 2017. Ivanka Trump lists DT Bali Hotel Manager LLC (Management of future hotel; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income. Because there&#39;s no indication her interest in this entity has been divested or placed into a blind trust, it is marked in this database as an active potential conflict of interest.",Ivanka Trump,"Dt Bali Hotel Manager LLC",Active, "",09/18/2017
"Ivanka Trump served as Executive Vice President of DT BALI TECHNICAL SERVICES MANAGER LLC from Jun 1, 2015, until Jan 1, 2017. Ivanka Trump lists DT Bali Technical Services Manager LLC (Technical services for hotel construction; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income. Because there&#39;s no indication her interest in this entity has been divested or placed into a blind trust, it is marked in this database as an active potential conflict of interest.",Ivanka Trump,"Dt Bali Technical Services Manager LLC",Active, "",09/18/2017
"Ivanka Trump served as Executive Vice President of DT DUBAI II GOLF MANAGER LLC from Oct 1, 2014, until Jan 1, 2017. Ivanka Trump lists DT Dubai II Golf Manager LLC (Management of future golf course; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income. Because there&#39;s no indication her interest in this entity has been divested or placed into a blind trust, it is marked in this database as an active potential conflict of interest.",Ivanka Trump,"Dt Dubai Ii Golf Manager LLC",Active, "",09/18/2017
"Ivanka Trump served as Executive Vice President of DT LIDO GOLF MANAGER LLC from Jun 1, 2015, until Jan 1, 2017. Ivanka Trump lists DT Lido Golf Manager LLC (Management of future golf course; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income. Because there&#39;s no indication her interest in this entity has been divested or placed into a blind trust, it is marked in this database as an active potential conflict of interest.",Ivanka Trump,"Dt Lido Golf Manager LLC",Active, "",09/18/2017
"Ivanka Trump served as Executive Vice President of DT LIDO HOTEL MANAGER LLC from Jun 1, 2015, until Jan 1, 2017. Ivanka Trump lists DT Lido Hotel Manager LLC (Management of Future Hotel; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income. Because there&#39;s no indication her interest in this entity has been divested or placed into a blind trust, it is marked in this database as an active potential conflict of interest.",Ivanka Trump,"Dt Lido Hotel Manager LLC",Active, "",09/18/2017
